# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:50
# parameter: seed = 1896476
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
    1670.440,   140,Finish(1),before,   1,   0,   0,   1,   0
    1670.440,   140,Finish(1), after,   2,   0,   0,   0,   1
    1686.118,   141,Finish(2),before,   1,   0,   0,   0,   1
    1686.118,   141,Finish(2), after,   1,   0,   0,   0,   0
    1703.708,   139,  Arrival,before,   0,   0,   0,   0,   0
    1703.708,   139,  Arrival, after,   2,   0,   0,   1,   0
    1712.336,   142,  Arrival,before,   1,   0,   0,   1,   0
    1712.336,   142,  Arrival, after,   2,   1,   0,   1,   0
    1716.332,   143,Finish(1),before,   1,   1,   0,   1,   0
    1716.332,   143,Finish(1), after,   3,   0,   0,   1,   1
    1721.744,   145,Finish(1),before,   2,   0,   0,   1,   1
    1721.744,   145,Finish(1), after,   2,   0,   1,   0,   1
    1728.421,   144,  Arrival,before,   1,   0,   1,   0,   1
    1728.421,   144,  Arrival, after,   3,   0,   1,   1,   1
    1732.094,   148,Finish(1),before,   2,   0,   1,   1,   1
    1732.094,   148,Finish(1), after,   2,   0,   2,   0,   1
    1735.400,   146,Finish(2),before,   1,   0,   2,   0,   1
    1735.400,   146,Finish(2), after,   2,   0,   1,   0,   1
    1744.893,   147,  Arrival,before,   1,   0,   1,   0,   1
    1744.893,   147,  Arrival, after,   3,   0,   1,   1,   1
    1754.392,   149,Finish(2),before,   2,   0,   1,   1,   1
    1754.392,   149,Finish(2), after,   3,   0,   0,   1,   1
    1766.201,   150,  Arrival,before,   2,   0,   0,   1,   1
    1766.201,   150,  Arrival, after,   3,   1,   0,   1,   1
    1772.298,   152,Finish(2),before,   2,   1,   0,   1,   1
    1772.298,   152,Finish(2), after,   2,   1,   0,   1,   0
    1786.863,   151,Finish(1),before,   1,   1,   0,   1,   0
    1786.863,   151,Finish(1), after,   3,   0,   0,   1,   1
    1800.915,   155,Finish(2),before,   2,   0,   0,   1,   1
    1800.915,   155,Finish(2), after,   2,   0,   0,   1,   0
    1818.515,   153,  Arrival,before,   1,   0,   0,   1,   0
    1818.515,   153,  Arrival, after,   2,   1,   0,   1,   0
    1831.516,   154,Finish(1),before,   1,   1,   0,   1,   0
    1831.516,   154,Finish(1), after,   3,   0,   0,   1,   1
    1847.990,   158,Finish(2),before,   2,   0,   0,   1,   1
    1847.990,   158,Finish(2), after,   2,   0,   0,   1,   0
    1863.424,   156,  Arrival,before,   1,   0,   0,   1,   0
    1863.424,   156,  Arrival, after,   2,   1,   0,   1,   0
    1877.075,   157,Finish(1),before,   1,   1,   0,   1,   0
    1877.075,   157,Finish(1), after,   3,   0,   0,   1,   1
    1877.297,   159,  Arrival,before,   2,   0,   0,   1,   1
    1877.297,   159,  Arrival, after,   3,   1,   0,   1,   1
    1889.828,   161,Finish(2),before,   2,   1,   0,   1,   1
    1889.828,   161,Finish(2), after,   2,   1,   0,   1,   0
    1906.398,   160,Finish(1),before,   1,   1,   0,   1,   0
    1906.398,   160,Finish(1), after,   3,   0,   0,   1,   1
    1909.056,   162,  Arrival,before,   2,   0,   0,   1,   1
    1909.056,   162,  Arrival, after,   3,   1,   0,   1,   1
    1920.018,   165,  Arrival,before,   2,   1,   0,   1,   1
    1920.018,   165,  Arrival, after,   3,   2,   0,   1,   1
    1924.281,   163,Finish(1),before,   2,   2,   0,   1,   1
    1924.281,   163,Finish(1), after,   3,   1,   1,   1,   1
    1924.512,   164,Finish(2),before,   2,   1,   1,   1,   1
    1924.512,   164,Finish(2), after,   3,   1,   0,   1,   1
    1943.192,   168,Finish(2),before,   2,   1,   0,   1,   1
    1943.192,   168,Finish(2), after,   2,   1,   0,   1,   0
    1945.413,   167,Finish(1),before,   1,   1,   0,   1,   0
    1945.413,   167,Finish(1), after,   3,   0,   0,   1,   1
    1953.335,   169,Finish(1),before,   2,   0,   0,   1,   1
    1953.335,   169,Finish(1), after,   2,   0,   1,   0,   1
    1964.155,   170,Finish(2),before,   1,   0,   1,   0,   1
    1964.155,   170,Finish(2), after,   2,   0,   0,   0,   1
    1973.163,   166,  Arrival,before,   1,   0,   0,   0,   1
    1973.163,   166,  Arrival, after,   3,   0,   0,   1,   1
    1976.907,   173,Finish(1),before,   2,   0,   0,   1,   1
    1976.907,   173,Finish(1), after,   2,   0,   1,   0,   1
    1981.975,   171,Finish(2),before,   1,   0,   1,   0,   1
    1981.975,   171,Finish(2), after,   2,   0,   0,   0,   1
    1996.466,   174,Finish(2),before,   1,   0,   0,   0,   1
    1996.466,   174,Finish(2), after,   1,   0,   0,   0,   0
    2004.207,   172,  Arrival,before,   0,   0,   0,   0,   0
    2004.207,   172,  Arrival, after,   2,   0,   0,   1,   0
    2013.256,   176,Finish(1),before,   1,   0,   0,   1,   0
    2013.256,   176,Finish(1), after,   2,   0,   0,   0,   1
    2030.114,   177,Finish(2),before,   1,   0,   0,   0,   1
    2030.114,   177,Finish(2), after,   1,   0,   0,   0,   0
    2040.479,   175,  Arrival,before,   0,   0,   0,   0,   0
    2040.479,   175,  Arrival, after,   2,   0,   0,   1,   0
    2051.586,   179,Finish(1),before,   1,   0,   0,   1,   0
    2051.586,   179,Finish(1), after,   2,   0,   0,   0,   1
    2071.191,   180,Finish(2),before,   1,   0,   0,   0,   1
    2071.191,   180,Finish(2), after,   1,   0,   0,   0,   0
    2087.219,   178,  Arrival,before,   0,   0,   0,   0,   0
    2087.219,   178,  Arrival, after,   2,   0,   0,   1,   0
    2088.230,   182,Finish(1),before,   1,   0,   0,   1,   0
    2088.230,   182,Finish(1), after,   2,   0,   0,   0,   1
    2100.743,   181,  Arrival,before,   1,   0,   0,   0,   1
    2100.743,   181,  Arrival, after,   3,   0,   0,   1,   1
    2101.306,   183,Finish(2),before,   2,   0,   0,   1,   1
    2101.306,   183,Finish(2), after,   2,   0,   0,   1,   0
    2143.976,   185,Finish(1),before,   1,   0,   0,   1,   0
    2143.976,   185,Finish(1), after,   2,   0,   0,   0,   1
    2144.123,   184,  Arrival,before,   1,   0,   0,   0,   1
    2144.123,   184,  Arrival, after,   3,   0,   0,   1,   1
    2146.546,   188,Finish(1),before,   2,   0,   0,   1,   1
    2146.546,   188,Finish(1), after,   2,   0,   1,   0,   1
    2160.307,   186,Finish(2),before,   1,   0,   1,   0,   1
    2160.307,   186,Finish(2), after,   2,   0,   0,   0,   1
    2175.356,   189,Finish(2),before,   1,   0,   0,   0,   1
    2175.356,   189,Finish(2), after,   1,   0,   0,   0,   0
    2190.491,   187,  Arrival,before,   0,   0,   0,   0,   0
    2190.491,   187,  Arrival, after,   2,   0,   0,   1,   0
    2211.619,   191,Finish(1),before,   1,   0,   0,   1,   0
    2211.619,   191,Finish(1), after,   2,   0,   0,   0,   1
    2225.301,   192,Finish(2),before,   1,   0,   0,   0,   1
    2225.301,   192,Finish(2), after,   1,   0,   0,   0,   0
    2235.281,   190,  Arrival,before,   0,   0,   0,   0,   0
    2235.281,   190,  Arrival, after,   2,   0,   0,   1,   0
    2242.714,   194,Finish(1),before,   1,   0,   0,   1,   0
    2242.714,   194,Finish(1), after,   2,   0,   0,   0,   1
    2257.685,   193,  Arrival,before,   1,   0,   0,   0,   1
    2257.685,   193,  Arrival, after,   3,   0,   0,   1,   1
    2258.963,   197,Finish(1),before,   2,   0,   0,   1,   1
    2258.963,   197,Finish(1), after,   2,   0,   1,   0,   1
    2265.702,   195,Finish(2),before,   1,   0,   1,   0,   1
    2265.702,   195,Finish(2), after,   2,   0,   0,   0,   1
    2280.033,   198,Finish(2),before,   1,   0,   0,   0,   1
    2280.033,   198,Finish(2), after,   1,   0,   0,   0,   0
    2293.161,   196,  Arrival,before,   0,   0,   0,   0,   0
    2293.161,   196,  Arrival, after,   2,   0,   0,   1,   0
    2307.836,   200,Finish(1),before,   1,   0,   0,   1,   0
    2307.836,   200,Finish(1), after,   2,   0,   0,   0,   1
    2325.470,   201,Finish(2),before,   1,   0,   0,   0,   1
    2325.470,   201,Finish(2), after,   1,   0,   0,   0,   0
    2328.383,   199,  Arrival,before,   0,   0,   0,   0,   0
    2328.383,   199,  Arrival, after,   2,   0,   0,   1,   0
    2348.939,   203,Finish(1),before,   1,   0,   0,   1,   0
    2348.939,   203,Finish(1), after,   2,   0,   0,   0,   1
